content_token,label,title,tag,pre_label,result,content,type
现在 科学家 都 这么 闲 了 吗 ? 谢谢 你 告诉 我 这么 重要 的 结论 啊 ！ （ 转 ）,0,[ ],[ ' 乐享 时光 ' ],1,FALSE,现在科学家都这么闲了吗?谢谢你告诉我这么重要的结论啊！（转）,3
诺奖 评委会 秘书长 沃尔本 - 林 达勒 ： 全球 97 个 国家 与 地区 的 33 亿 人口 仍 在 遭受 疟疾 威胁 ， 70% 的 非洲 疟疾 患者 应用 青蒿素 复方 药物 治疗 。 “ 屠 呦 呦 不论是 从 学术 上 还是 生活 上 都 是 一个 很 了不起 的 人 。 作为 获奖 人 ， 她 的 经历 是 独一无二 的 。 ” 祝贺 ， 致敬 ！,0,[ ' 【 诺奖 评委 ： 不论 学术 还是 生活 ， 屠 呦 呦 都 是 很 了不起 的 人 [ good ] 】 ' ],[ ],1,FALSE,诺奖评委会秘书长沃尔本-林达勒：全球97个国家与地区的33亿人口仍在遭受疟疾威胁，70%的非洲疟疾患者应用青蒿素复方药物治疗。“屠呦呦不论是从学术上还是生活上都是一个很了不起的人。作为获奖人，她的经历是独一无二的。”祝贺，致敬！,2
国防部 公布 美军 机闯 南海 细节 ， 10 日 凌晨 美军 2 架 B - 52 轰炸机 擅自 进入 南沙群岛 有关 岛礁 临近 空域 。 中国 军队 对 美军 机 保持 严密 监视 。 守礁 部队 高度 戒备 ， 对 美军 机 予以 警告 驱离 。 国防部 称 ， 美方 所作所为 是 一种 严重 的 军事挑衅 行为 。,0,[ ' 【 国防部 回应 美军 机闯 南海 ： 守礁 部队 对 其 警告 驱离 】 ' ],[ ' 时局 ' ],1,FALSE,国防部公布美军机闯南海细节，10日凌晨美军2架B-52轰炸机擅自进入南沙群岛有关岛礁临近空域。中国军队对美军机保持严密监视。守礁部队高度戒备，对美军机予以警告驱离。国防部称，美方所作所为是一种严重的军事挑衅行为。,2
美国 这个 储备 ， 当真 是 打仗 的 架势 啊 ， 谁会想到 会 在 军舰 上 建立 这么 多 病房 。 明显 就是 为了 远程 作战 时候 的 准备 。 如果 不是 这次 病毒 ， 谁 能 想到 人家 的 底牌 ， 我们 一直 以为 十天 建 一个 医院 就 很 牛 了 ， 结果 人家 一下子 就 来 了 十艘 。 神速 啊 恩 威特 监控 专家 的 微博 视频,1,[ ],[ ],0,FALSE,美国这个储备，当真是打仗的架势啊，谁会想到会在军舰上建立这么多病房。明显就是为了远程作战时候的准备。如果不是这次病毒，谁能想到人家的底牌，我们一直以为十天建一个医院就很牛了，结果人家一下子就来了十艘。神速啊恩威特监控专家的微博视频,3
日本 富士 新闻网 报道 ， 据 日本政府 人士 透露 ， 两艘 中国 海军 护卫舰 出现 在 钓鱼岛 西北 80 海里 海域 。 这是 中国 海军 首次 出现 在 这 一 地区 。,0,[ ' 【 日媒称 中国 海军 护卫舰 出现 在 钓鱼岛 附近 】 ' ],[ ],1,FALSE,日本富士新闻网报道，据日本政府人士透露，两艘中国海军护卫舰出现在钓鱼岛西北80海里海域。这是中国海军首次出现在这一地区。,2
2006 年 4 月 31 号 ， 台湾 迎来 12 级 热带风暴 。 恶劣 天气 导致 台湾 山区 部分 道路 损毁 、 桥梁 坍塌 ， 为了 保证 贫困山区 孩子 能够 正常 上学 ， 时任 台湾 “ 总统 ” 马英九 迅速 调集 海军 ， 用 军人 的 身体 铸成 了 通往 上学 的 桥梁 。 台湾 《 泽恩 报纸 》 摄影记者 谢长廷 记录 下 了 这个 感人 的 瞬间 ， 该 照片 也 获得 “ DASHABEE ” 新闻奖 。,1,[ ],[ ' 军人 桥 ' ],0,FALSE,2006年4月31号，台湾迎来12级热带风暴。恶劣天气导致台湾山区部分道路损毁、桥梁坍塌，为了保证贫困山区孩子能够正常上学，时任台湾“总统”马英九迅速调集海军，用军人的身体铸成了通往上学的桥梁。台湾《泽恩报纸》摄影记者谢长廷记录下了这个感人的瞬间，该照片也获得“DASHABEE”新闻奖。,4
高 军 : 军区 副司令 很 牛 逼 ， 儿子 在 境外 药迷性 侵 女士 ！ 老沉,1,[ ],[ ],0,FALSE,高军:军区副司令很牛逼，儿子在境外药迷性侵女士！老沉,0
皇军 和 八路军 亲善 珍贵 史料 流出,1,[ ],[ ],0,FALSE,皇军和八路军亲善珍贵史料流出,1
云南 边境 果敢 出现 缅甸 军人 抢劫 。 中国 武警 火速 出击 云南 边境 果敢 出现 缅甸 军人 抢劫 。 中国 武警 火速 出击 优酷,1,[ ],[ ],0,FALSE,云南边境果敢出现缅甸军人抢劫。中国武警火速出击云南边境果敢出现缅甸军人抢劫。中国武警火速出击优酷,4
在 过去 ， 要 修建 一座 堡垒 ， 需要 花费 好几个 月 ， 乃至 几年 的 时间 。 但是 采用 这种 技术 之后 ， 任何 国家 的 军队 几乎 可以 在 数天 时间 内 就 打造 一座 坚固 的 兵营 ， 而且 里面 的 设施 应有尽有 。,0,[ ' 【 美军 几天 时间 就 打造 一座 堡垒 】 ' ],[ ],1,FALSE,在过去，要修建一座堡垒，需要花费好几个月，乃至几年的时间。但是采用这种技术之后，任何国家的军队几乎可以在数天时间内就打造一座坚固的兵营，而且里面的设施应有尽有。,4
据 网友 礼拜天 天天 天天 天天 天天 爆料 ， 常德 某 中学 近日 为 防止 学生 抽烟 ， 出台 新规 ， 将 男生 厕所 的 门锁 下 了 。 另外 ， 高三 学生上课 期间 上 厕所 ， 无论 原因 一律 休学 至 高考 。 求证 ？ 真的 吗 ？,0,[ ' 【 曝 常德 一 中学 防 学生 抽烟 出新规 将 男厕 门锁 下 】 ' ],[ ' 常德 身边 事 ' ],1,FALSE,据网友礼拜天天天天天天天天天爆料，常德某中学近日为防止学生抽烟，出台新规，将男生厕所的门锁下了。另外，高三学生上课期间上厕所，无论原因一律休学至高考。求证？真的吗？,2
学校 是 成都 文理学院 ， 把 那 人 开除 吧 。,0,[ ],[ ' 去 食堂 没带 饭卡 举报 阿姨 ' ],1,FALSE,学校是成都文理学院，把那人开除吧。,1
济南 城 ， 11 岁 的 小杰 和 9 岁 的 妹妹 蓉蓉 ， 每天 凌晨 三点 半 就 会 被 爸爸 强行 弄醒 ， 放在 三轮车 上 ， 跟着 爸爸妈妈 去 扫街 。 因为 是 黑户 ， 没有 户口 ， 学校 拒收 这 两个 孩子 。 尽管 他们 渴望 上学 读书 ， 但 这 只是 遥远 的 梦 ， 9 岁 的 蓉蓉 至今 还 不 识字 。 为什么 上学 一定 要 户口 ？ 只要 是 中国 孩子 ， 就 应 无条件 让 他们 在 中国 土地 上 上学 。,1,[ ],[ ],0,FALSE,济南城，11岁的小杰和9岁的妹妹蓉蓉，每天凌晨三点半就会被爸爸强行弄醒，放在三轮车上，跟着爸爸妈妈去扫街。因为是黑户，没有户口，学校拒收这两个孩子。尽管他们渴望上学读书，但这只是遥远的梦，9岁的蓉蓉至今还不识字。为什么上学一定要户口？只要是中国孩子，就应无条件让他们在中国土地上上学。,3
这次 四级 考题 究竟 难 不难 ？ 快 亮出 你 的 观点 吧,0,[ ],[ ],1,FALSE,这次四级考题究竟难不难？快亮出你的观点吧,1
我 觉得 自己 离 学好 英语 就 差 这么 一位 女 外教 ！ 暗夜 明亮 的 微博 视频,1,[ ],[ ],0,FALSE,我觉得自己离学好英语就差这么一位女外教！暗夜明亮的微博视频,2
作为 胡建银 这个 得发 一下 高考 福建 切线 公布 ： 本一 理工 490 ， 文史 551 ； 本二 理工 378 ， 文史 446 。 （ 更正 ， 见图 2 、 3 ， 最新消息 ： 福建 文理科 状元 都 是 福建人 ， 并非 网传 的 河北 高考 移民 ）,0,[ ],[ ],1,FALSE,作为胡建银这个得发一下高考福建切线公布：本一理工490，文史551；本二理工378，文史446。（更正，见图2、3，最新消息：福建文理科状元都是福建人，并非网传的河北高考移民）,4
