content,label,title,subtitle,predicted_label
现在科学家都这么闲了吗?谢谢你告诉我这么重要的结论啊！（转）,0,,#乐享时光#,1
未来世界无法想象，一切皆有可能！时代在改变、如果你不去改变、只能等着被淘汰！美国????最新机器人老婆Alice艾丽丝面世，按21岁姑娘打造，与真人相似度99%，售价十万美金，终身软件升级和保修。上海悦来汉蓉的微博视频,1,,,1
哈佛大学最新研究成果表明，连续5天给大脑做20分钟电击，数字推理运算能力可提高28%。研究者称，他们所用的电流很轻，相当于5号电池，被电者不会有任何疼痛不适。他们希望将这项成果在世界各地中小型推广，帮助那些数学不好的孩纸。via微天下,1,数学不好？电击一下试试？,,0
①“基因剪刀”CRISPR基因组编辑技术②新视野探测器近距离飞过冥王星③脑内也有淋巴管④用酵母合成阿片类止痛药⑤量子纠缠状态获证实⑥地幔柱存在证据⑦研制埃博拉疫苗⑧改善心理学⑨新古人种化石⑩早期美洲人来自亚洲。你感兴趣的是？,0,不明觉厉！《科学》评出2015十大科学突破,,0
据扯，新浪即将发布新规定：即将开启最近来访功能，只有你付费成为微博vip，就可以不把你显示在别人的“最近来访”里。,1,,#如果我是新浪，就这么干，赚翻了#,0
“媒体融合链，版权价值链”。由新华社中国搜索研发的“媒体融合链”区块链版权平台，近日正式上线。作为国家版权局“版权保护新技术研究推广站点”授牌单位，中国搜索此举旨在打造融合、协同、创新的版权新生态，助力提升媒体版权价值。详戳：...全文,0,“媒体融合链”来了中国搜索赋能版权保护,,0
XP/WIN7系统都会默认限制20％的网速，我们可以很轻松地解除这个限制，使你的上网速度达到100%，真正地体验冲浪的感觉~！本教程仅供技术交流，喜欢赶紧转走吧！学电脑，请关注黑客是这样练成的,1,别怪网速太慢，只怪自己不会调网速！,,0
德国的科技农业，全世界都震惊了！牛！,0,,,1
全面屏手机时代即将到来。如此一来前后指纹已成为过去式，所有手机设计上又将站在同一起跑线了，大家觉得屏幕内指纹解锁帅不帅？秒拍视频,0,vivo隐形指纹技术正式亮相,,0
在百度搜你想看的片名或者主角，后面加上torrent，找到的全是种子。我会告诉你在百度文库的wenku前边加wap就能复制文档吗，我会告诉你在优酷播放页youku后加xia就能直接下载视频吗，我会告诉你在土豆视频链接后面加?tid=-1就可以跳过45秒广告吗。别逗了，我可不是雷锋！！,0,,,1
今天，我国ARJ21新支线飞机从上海飞往成都，正式交付给成都航空公司。这是继11月2日C919大型客机总装下线后，我国航空工业又一重大突破。标志着国内航线将首次拥有自己的喷气式支线客机！中国，加入了世界商用飞机的家族！为中国点赞！,0,国产首架ARJ21支线客机今交付,#民生#,1
工程院中药院士李连达发文谈丹参滴丸在美国临床III期试验的惨败网页链接,0,,,0
我国自行研制的机器人美女，超过世界上任何国家，在上海庆祝祖国70年之际。表演舞蹈(一条大河)先睹为快，快看并转发吧。董郎行的微博视频,1,,#我爱你中国#,1
