content,label,title,subtitle,category
据说，过几天新浪微博要开通查看最近访客功能了。这就意味着从此以后，你不能再去你前任的微博了，也不能去你前任的现任，你现任的前任，还有什么你暗恋的，你讨厌的这些人的微博了。但是！你们可以上『好友美食』去查他们的就餐记录啊亲！好使！我的前任是极品,1,,#最近访客功能#,科技
有时候，因为不小心删除了有用的或还要用的文件，而且又清空了回收站（或直接删除而根本不放入回收站）。怎么办？别着急，只要你的电脑还没有运行磁盘整理，且系统完好，任何时候的文件都可以找回来。学点黑客技术,1,恢复从回收站中被删除的文件的方法,,科技
国际天文学联合会宣布，中国“嫦娥三号”探测器落在月亮上后，“玉兔”月球车又出去跑了一圈的那块地，被正式命名为“广寒宫”。附近三个撞击坑分别命名为“紫微”、“天市”、“太微”。现在，“嫦娥”和“玉兔”仍住在“广寒宫”中。(新华网),0,“广寒宫”不再是传说啦[兔子],,科技
①“基因剪刀”CRISPR基因组编辑技术②新视野探测器近距离飞过冥王星③脑内也有淋巴管④用酵母合成阿片类止痛药⑤量子纠缠状态获证实⑥地幔柱存在证据⑦研制埃博拉疫苗⑧改善心理学⑨新古人种化石⑩早期美洲人来自亚洲。你感兴趣的是？,0,不明觉厉！《科学》评出2015十大科学突破,,科技
美国最新机器人老婆Alice艾丽丝面世，按21岁姑娘打造，与真人相似度99%，售价十万美金，终身软件升级和保修。买一个这样的老婆，你就是活到101岁，你老婆还是21岁那样动人！事件排行榜的微博视频,1,,,科技
英国埃塞克斯大学找来345位女子观看裸体男性和女性的视频，被监测是否受到性刺激。结果，认为自己是异性恋的受试者，看到男人和女人的身体都有强烈的性反应，而女同只对女人身体有反应。结果称，女人在性方面不是同性恋就是双性恋，没有异性恋。这里是美国,0,研究称女人不是同性恋就是双性恋[巨汗],,科技
古典舞蹈表演者不是你思维的女演员，而是刚问世的机器人！视频来自上海迪士尼4D影视，排队买票观看要4小时以上，票价：499元。这是我国自行研制的机器人，其技术水平已超越日本。看脸部表情多丰富……生活在这个年代，有喜有忧，感觉随时要被淘汰??????zhaoyiwei54321的微博视频,1,,,科技
数据显示，用户一次性成功输入验证码的比例仅为8%，65%的用户需要三次甚至四次以上才能输对。如此复杂的验证码难住票贩子了吗？一名黄牛“家X”透露，其采用台式电脑和购买的软件抢票，图片验证码只用机器自动验证即可“秒过”。,0,12306图片验证码一次性输入正确率仅8%,,科技
互粉我国自行研制的机器人美女，超过世界上任何国家，在上海庆祝祖国70年之际。表演舞蹈(一条大河)先睹为快果粒橙乐的微博视频,1,,,科技
我今天才突然发现现在微博貌似可以看每条微博的访问量了。隔几天就要新增最近访客模块了。好多人抗议，和qq空间还有什么不同?!还是最开始的只有转发评论最好简简单单现在越改越,1,,,科技
"法国喷气滑雪冠军FrankyZapata发明的喷气动力“悬浮滑板”FlyboardAir，最高能飞超过10,000英尺，时速可达150千米/小时。震惊全世界！有木有一种外星技术入侵的感脚？美国疯传的...",0,“飞行滑板”真的可以带你上天！,#空行飞行器#,科技
教吃货们几款小零食的自制方法，自己动手，丰衣足食~一起来新技能get！,0,,,科技
一不小心，删错了，还把回收站清空了，怎么办？只要三步，你就能找回你删掉并清空回收站的东西。实用小百科（转）,1,误删资料，该怎么恢复？,,科技
酸辣粉的9种不同做法，赶紧get起来，转需！,0,,,科技
"无人驾驶汽车、5G通信技术、虚拟现实摄像机、虚拟试衣镜、多功能机器人…在乌镇，""互联网之光""博览会向人们展现着互联网无限可能。当白墙黛瓦千年古镇遇上互联网，传统和现代交融神奇画卷给人无尽想象。哪个你最感兴趣？",0,"这些博览会上的""神器""你知道都做干什么的吗？[酷]",#第二届乌镇世界互联网大会#,科技
浪浪你真的要开启微博可查看最近访客功能了么。。。(via丁一晨DYC),1,,,科技
"有人说微博上有两种特别的人,他们会把你所有的微博都一一看完,包括评论的内容,他们会时刻关注着你微博的更新,但是从来都不会留言,第一种是默默喜欢着你的人,第二种是恨你入骨的人,而这些人马上都会现身了,传说过几天微博就会有访客记录,到时候我也不用活了~",1,,,科技
2020AIIA人工智能开发者大会9月28日至29日在中关村举行；2020中国绿公司年会9月28日至30日在海口举办；第二届民航通航发展大会9月28日至29日在太原召开；统计局9月30日公布中国采购经理指数月度报告；阿里巴巴9月30日召开年度股东大会。,0,,,科技
罗昌平：新冠疫情以来，几位院士丑态百出：有的谎话连篇，有的如门外汉，有的客串公关念错稿子，感觉院士名额就是各种既利集团分猪肉一样得来的。屠呦呦先生拿过诺贝尔医学奖，虽说科研经费分配可能吃亏，但晚节比头衔更重要，不要也罢！,1,,,科技
预计有此功能后，会出现以下不和谐现象1：男女盆友发现，你答应ta不再来往的人，竟还在微博上频繁互动2：原本把微博当吐槽树洞，结果被吐槽对象从你们共同朋友滴微博上顺藤摸瓜抓到你3：穿马甲开的微博失效，访客给你做了实名认证4：大家群体呼吁微博请留一点…我点评了最近访客,1,,#最近访客#,科技
预计有此功能后，会出现以下不和谐现象1：男女盆友发现，你答应ta不再来往的人，竟还在微博上频繁互动2：原本把微博当吐槽树洞，结果被吐槽对象从你们共同朋友滴微博上顺藤摸瓜抓到你3：穿马甲开的微博失效，访客给你做了实名认证4：大家群体呼吁微博请留一点…我点评了,1,,#最近访客#,科技
一分钟酸奶蛋糕，简单易学，吃货快get起来~,0,,,科技
新版微博个人主页过两天就上线了！包括访客到访和被转发评论次数等新功能。参考图如下，来自：AlvinShing,1,,,科技
你要是嫌你们家网速慢你可以调啊！谁拦着你了？5分钟搞定！（转）?推荐关注生活点点通,1,,,科技
这是宁波东部新城门户区2B-U地块，即将落成的西班牙设计师的超现实作品。主刀结构设计的是设计央视大裤衩的结构工程师。绝对是技术帝啊，怎么解决会拐弯的电梯呢？？地产人给的评语是：技术难题不可怕，可怕的是这难题竟然给攻破了啊！亲，你上班会害怕吗？？by徐明达FC,1,劲爆：宁波劈腿楼。。。,,科技
真神！俄罗斯的一个机器人，被拍到英勇拯救一名贪玩的小女孩，让她免于被置物架压伤~此举引爆网络，机器人力MAX，厉害厉害！真神！俄罗...,0,,,科技
山东第一医科大学与华为技术有限公司签署战略合作协议华为的加入，对加快5G、物联网、大数据、人工智能等新技术在教育教学、科学研究、医疗服务中的融合应用尽快建立一套能够集智慧教学、智慧科研、智慧医疗、智慧管理于一体的现代信息化应用体系对于保障校(院)各项事业高质量快速发展具有重要意义。,0,,,科技
中国电信5GSA规模商用，截至目前，累计开通超过32万个5G站点，覆盖300多个城市，已建成全球最大的共建共享5G网络，同时，中国电信聚焦客户细分领域，打造5G定制网。此外，中国电信还发布了、科技创新行动计划等，在“云终端计划”中，推出了999元的5G云手机……...全文,0,,,科技
飞机失联，美国得知消息四个小时之后就出动了军事力量，今天美国国防部又宣布派出平克尼号驱逐舰和一架P-3C猎户座侦察机帮助搜救马航失联客机。可中国呢，至今没有空军海军参与救援的消息。而且连新闻报道都少得可怜。要知道飞机上坐着154名活生生的中国人啊，而美国人只有三个。悲哀，真TMD悲哀。,1,,,军事
视频中残酷殴打市民的特勤，有些说是保安。事实上，这并非一般的公司保安。所谓特勤，是军队或公安部门执行特殊任务的人员，通常见到的都是公安部门的特勤大队成员，主要用来反恐或维稳。这些成员的构成非常复杂，为向长官做出好的表现以求职业前景，往往比警察残忍百倍。O网页链接,1,,,军事
今天重大事件求证：日本最新的宙斯盾级足柄号驱逐舰当场被击中沉没，金刚号严重受创，白根号护卫舰在返航途中沉没。中国海军徐州号受创，海监船当场沉没一艘，潜艇安全返航。目前双方人员伤亡情况不明，但钓鱼岛已被中国军队控制。中国东海舰队福建军区已进入紧急战备状态。我在:,1,,,军事
据英国报道，埃尔多安说，他希望透过明日登场的巴黎气候会议上，能与普京“面对面”沟通来解决问题，并警告普京不要玩火。不过俄方强调，在埃尔多安要求见面之前，普京希望土耳其先道歉。（凤凰网）,0,土耳其总统再呛声警告普京“不要玩火”,#土耳其击落俄军机#,军事
小时候我们一直在被忽悠：号召我们学赖宁，后来发现他是个官二代，在森林里玩火把自己玩死了。号召我们学刘胡兰，后来发现她是个红军连长的小三，原来它们养小三是有传统的。号召我们学邱少云，后来发现他早已被机枪打死，因为只有死人才能一动不动，这和英雄无关，和人的本能有关,1,,,军事
据国防部发布，12月10日凌晨，美军两架B－52战略轰炸机擅自进入中国南沙群岛有关岛礁邻近空域，中国守礁部队对美军机予以警告驱离。美方的所作所为是一种严重的军事挑衅行为。另据外媒，美方辩解称，“并没有飞到南海岛礁12海里内的想法”。,0,美轰炸机闯中国南海国防部：是严重的军事挑衅行为,,军事
4月20日，习近平主席所乘专机进入巴基斯坦领空，巴方枭龙战机编队护航。（央视记者王宇波）,0,央视独家视频：巴基斯坦枭龙战机编队为习近平专机护航,#V观习主席出访#,军事
“把ISIS控制区的边界，刷上一层厚厚的猪油，他们就跑不出来了，然后再集中火力歼灭！”——最高司令官,0,,,军事
ISIS到底是什么组织？五分钟科普动画带你快速了解。,0,,,军事
板门店谈判前彭德怀要求在铁原挡住美军两周，63军3万多人打得只剩1千多人。上甘岭，美军佯攻，实则用优势火炮集中歼灭，结果美军伤亡少数，志愿军遗尸37000多。视频传到美国内，引发反战浪潮，美民众和议员大骂美军屠夫，直接促成停战谈判！转薛蛮子作家崔成浩袁腾飞,1,加速韩战停战原因之一,,军事
水上水上不行，空中空中不行，啧啧嘶……惊起蛙声一片,0,,#台湾新竹空军基地内直升机坠落#,军事
内部透露李天一案女主角撤销控诉，已达成和解意向。因李天一未满18岁，且当时已经醉酒，即便诉讼被重判的可能性极低，记李天一及其他4名嫌疑人家长的奔走，最终联系上女孩父母并进行了长谈，受害人最终得到极大的物质补偿，包括落实北京户口，工作及一套房产。,1,法律再次被践踏,,军事
今天上午广州火车站??2清江大道O网页链接,1,,,军事
演唱的殷秀梅女士和蒋大为先生，都是美利坚合众国公民，美国国籍，他们两个还是现役中国大陆军人。我只能说，这他妈的太搞笑了。。,1,,,军事
转发。澳大利亚朋友刚刚来信：飞机找到了，在澳大利亚佩斯方向，公海。残片。打捞一个主要部件，能确认无疑就是MH370，其它放弃，转而找黑匣子和驾驶舱录音器。澳海军已派艇过去了。我在:2日本,1,,,军事
你救我性命，我陪你余生！汶川地震19岁兵哥哥救出12岁的女孩；10年后女孩：你该来娶我回家了！军人之家的微博视频,1,,#中国军事#,军事
