content,label,title,subtitle,category
8日，郑州飞海南航班，一位老人因患有脑梗无法握勺进食，空姐就跪在老人身边喂他吃饭，说，“您别着急，我来喂您吃吧。”老人被突如其来的关怀触动，因说不清话，他数度哽咽，泣不成声，这一幕被乘客拍下，传上网。,0,老人飞机上无法进食空姐跪地喂饭[心],#中国人故事#,社会生活
"朋友圈有消息说马航是被机组劫持,与政府谈判未果,已坠毁?!真的假的?!",1,,,灾难事故
微信公众号“大鹰”刚刚发布中华之鹰00...中华之鹰00...,0,男子在沙特和女同事一起吃早餐然后就被抓了,,政治
自2007年12月1日开始执行的中华人民共和国卫生部中猫属于界定中的第一项无食用习惯的动物，猫拥有不被食用的合法身份。只要用途为食用，猫无论在运输还是屠宰过程都是违法的，拦截后可要求价值的10倍赔偿！！新资源食品管理办法全文链接：O网页链接,1,猫肉违法！,,社会生活
80多岁男神，您辛苦了。曝料君的微博视频,1,,#谢谢你们北京加油#,医药健康
曾诚落地时踩在黄博文脚上不慎受伤,0,,,社会生活
近日，保定一男子因醉酒驾驶被公安交警依法查处后，竟然在朋友圈公开辱骂公安交警，最终其被公安机关依法处以行政拘留9日，并处罚款300元的处罚。河北交警微发布的微博视频（保定市交警）,0,保定一#男子醉驾被罚后发朋友圈辱骂交警被拘留#,#男子醉驾被罚后发朋友圈辱骂交警被拘留#,社会生活
早餐在聪明的女人这里，从来不是问题鸡蛋+火腿+番茄三明治，1秒GET！长得萌的已经去拿鸡蛋了,0,,#陪伴宝贝成长#,无法确定
李宁，家乡：山东，一个花季女大学生，一个为母亲讨公道的上访妹，最后公开报道‘自杀’于当地信F局。被网传疑似就是那个‘23岁唯一保留人皮的人体标本’，脸部非常相似，并有网友呼吁希尽快还原真相，还此女公道。不知道此事是否是小说？我相信我们国家不会有这种万恶的事情的。O网页链接,1,,,社会生活
看哭了，蹲一个捐款方式吧，虽然我不是什么有钱人，也不生活在成都没办法去买他的东西，但是我也想尽一份力量。,0,,#爸爸说女儿不是植物人是睡美人#,社会生活
