content,label,title,subtitle,category,predicted_label
据说 几天 新浪 微博要 开通 查看 最近 访客 功能 意味着 从此以后 不能 再 去 前任 微博 不能 去 前任 现任 现任 前任 暗恋 讨厌 人 微博 上 好友 美食 去查 就餐 记录 亲 好使 前任 极品,1,,#最近访客功能#,科技,1
有时候 不 小心 删除 有用 还要 文件 清空 回收站 直接 删除 根本 不 放入 回收站 别着急 电脑 还 没有 运行 磁盘 整理 系统 完好 文件 都 找 回来 学 点 黑客技术,1,恢复从回收站中被删除的文件的方法,,科技,1
国际天文学联合会 宣布 中国 嫦娥 三号 探测器 落 月亮 上后 玉兔 月球车 出去 跑 一圈 那块 正式 命名 广寒宫 附近 三个 撞击 坑 分别 命名 紫微 天市 太微 现在 嫦娥 玉兔 仍住 广寒宫 中 新华网,0,“广寒宫”不再是传说啦[兔子],,科技,1
基因 剪刀 CRISPR 基因组 编辑 技术 新视野 探测器 近距离 飞过 冥王星 脑内 淋巴管 酵母 合成 阿片类 止痛药 量子 纠缠 状态 获 证实 地幔 柱 存在 证据 研制 埃 博拉 疫苗 改善 心理学 新 古人 化石 早期 美洲 人 来自 亚洲 感兴趣,0,不明觉厉！《科学》评出2015十大科学突破,,科技,0
美国 最新 机器人 老婆 Alice 艾丽丝 面世 21 岁 姑娘 打造 真人 相似 度 99% 售价 十 万美金 终身 软件 升级 保修 买 老婆 活到 101 岁 老婆 21 岁 动人 事件 排行榜 微博 视频,1,,,科技,1
英国 埃塞克斯 大学 找来 345 位 女子 观看 裸体 男性 女性 视频 监测 是否 受到 性刺激 认为 异性恋 受试者 看到 男人 女人 身体 都 强烈 性反应 女同 只 女人 身体 反应 称 女人 性 方面 不是 同性恋 双性恋 没有 异性恋 美国,0,研究称女人不是同性恋就是双性恋[巨汗],,科技,1
古典 舞蹈 表演者 不是 思维 女演员 刚 问世 机器人 视频 来自 上海 迪士尼 4D 影视 排队 买票 观看 4 小时 以上 票价 499 元 这是 我国 自行 研制 机器人 技术水平 已 超越 日本 看 脸部 表情 丰富 … … 生活 年代 有喜有忧 感觉 随时 淘汰 zhaoyiwei54321 微博 视频,1,,,科技,1
数据 显示 用户 一次性 成功 输入 验证码 比例 仅为 8% 65% 用户 需要 三次 四次 以上 才能 输对 复杂 验证码 难住 票贩子 一名 黄牛 家 X 透露 采用 台式 电脑 购买 软件 抢票 图片 验证码 只用 机器 自动 验证 即可 秒,0,12306图片验证码一次性输入正确率仅8%,,科技,0
互粉 我国 自行 研制 机器人 美女 超过 世界 上 国家 上海 庆祝 祖国 70 年 之际 表演 舞蹈 一条 大河 先睹为快 果粒橙乐 微博 视频,1,,,科技,1
今天 才 突然 发现 现在 微博 貌似 看 每条 微博 访问量 隔 几天 就要 新增 最近 访客 模块 好多 人 抗议 qq 空间 不同 ! 最 转发 评论 最好 简简单单 现在 越改越,1,,,科技,1
