content,label,title,tag,predicted_label,result
10日，瑞典斯德哥尔摩音乐厅，中国科学家屠呦呦从瑞典国王卡尔十六世?古斯塔夫手中领取诺贝尔生理学或医学奖。这是中国科学家在中国本土进行的科学研究首获诺贝尔科学奖，是中国医学界迄今为止获得的最高奖项。,0,['【今天，向这位中国科学家转发祝贺！#屠呦呦获颁诺贝尔奖#[鼓掌]】'],[],1,FALSE
XP/WIN7系统都会默认限制20％的网速，我们可以很轻松地解除这个限制，使你的上网速度达到100%，真正地体验冲浪的感觉~！本教程仅供技术交流，喜欢赶紧转走吧！学电脑，请关注黑客是这样练成的,1,['【别怪网速太慢，只怪自己不会调网速！】'],[],0,FALSE
iPhone5粉红款！女生的最爱！iPhone5首次曝光，即将上市。1.5GHzA4处理器，使用全新材质氮涂层外壳，这种氮涂层外壳具有防划防磨的特效。800万传感器，而且iPhone5完全解决了信号问题，并将支持4G连接，拥有32GB内存或64GB。喜欢的话，转发哈！,1,[],[],0,FALSE
日本富士新闻网报道，据日本政府人士透露，两艘中国海军护卫舰出现在钓鱼岛西北80海里海域。这是中国海军首次出现在这一地区。,0,['【日媒称中国海军护卫舰出现在钓鱼岛附近】'],[],1,FALSE
不幸遇难的中国人质名叫樊京辉，来自北京，曾从事广告行业。新浪新闻2001年1月15日登载的报道显示，樊当时接受白岩松采访时说，“自己一定要做自由人”、“从某种意义上说，要刻意追求不安全感带来的快感、走江湖的感觉”。详见：,0,['【被IS杀害的中国人质是谁？他曾接受白岩松采访】'],[],1,FALSE
皇军和八路军亲善珍贵史料流出,1,[],[],0,FALSE
药家鑫在看守所唱《传奇》的视频泄露之后，细心的再见华尔街发现台下领导席中坐着一位军装男子(第5分钟开始出现)，云中鹤138认为：他可能就是药家鑫父亲药青伟，是总后西安军事代表局驻西安的军代表。正团级军衔，副师级待遇。,1,[],[],0,FALSE
首都师范大学排名No.5的女学霸，王大芳，曾连续七次获得全校最高奖学金。上周末，在外出做家教途中发生了一次小车祸，感觉身体没什么大伤后，王大芳同学利用等待交警的时间背了107个英语古典文学词汇，同时也很好的保护了车祸现场。O,1,['【女学霸出车祸后】'],[],0,FALSE
2月26日晚11点多，郑州巡警接到报警，说一个女孩在宾馆受到性侵犯。民警赶到现场时，受害人小王的老板说：“我是北京大学明伦管理学院的副院长，我叫王子涵，我告诉你，别拍了！”O,1,['【北大院长王子涵深夜性侵犯女孩】'],[],0,FALSE
为增进同学之间的交往，培养健康的性取向和健康的人格，同时将学生宿舍管理工作与国际接轨！好先进，好羡慕嫉妒恨啊！,1,['【南京航空航天大学本科生可以申请男女合住】'],[],0,FALSE
