content,label,predicted_label,result
未来世界无法想象，一切皆有可能！时代在改变、如果你不去改变、只能等着被淘汰！美国????最新机器人老婆Alice艾丽丝面世，按21岁姑娘打造，与真人相似度99%，售价十万美金，终身软件升级和保修。上海悦来汉蓉的微博视频,1,0,FALSE
美国最新机器人老婆Alice艾丽丝面世，按21岁姑娘打造，与真人相似度99%，售价十万美金，终身软件升级和保修。买一个这样的老婆，你就是活到101岁，你老婆还是21岁那样动人！事件排行榜的微博视频,1,0,FALSE
XP/WIN7系统都会默认限制20％的网速，我们可以很轻松地解除这个限制，使你的上网速度达到100%，真正地体验冲浪的感觉~！本教程仅供技术交流，喜欢赶紧转走吧！学电脑，请关注黑客是这样练成的,1,0,FALSE
今天，我国ARJ21新支线飞机从上海飞往成都，正式交付给成都航空公司。这是继11月2日C919大型客机总装下线后，我国航空工业又一重大突破。标志着国内航线将首次拥有自己的喷气式支线客机！中国，加入了世界商用飞机的家族！为中国点赞！,0,1,FALSE
iPhone5粉红款！女生的最爱！iPhone5首次曝光，即将上市。1.5GHzA4处理器，使用全新材质氮涂层外壳，这种氮涂层外壳具有防划防磨的特效。800万传感器，而且iPhone5完全解决了信号问题，并将支持4G连接，拥有32GB内存或64GB。喜欢的话，转发哈！,1,0,FALSE
当时科研条件十分艰苦，都是土法上马，做临床试验时，是屠呦呦和另外两个同事先试服。屠呦呦因此得了中毒性肝炎。屠呦呦说，一个科研的成功不会很轻易，要做出艰苦的努力！,0,1,FALSE
日本富士新闻网报道，据日本政府人士透露，两艘中国海军护卫舰出现在钓鱼岛西北80海里海域。这是中国海军首次出现在这一地区。,0,1,FALSE
在叙利亚战火弥漫血肉横飞的时候，该国一名女子打出来的一幅标语让中国人震惊：“中国：你们的道德比你们的产品还垃圾。”,1,0,FALSE
近日，有卫星拍摄到了“美国”号航母被8艘军舰“围观”的照片，同时在美国官方的大图上一些我军054A护卫舰和052D驱逐舰也出现在背景里。燃新闻的,0,1,FALSE
皇军和八路军亲善珍贵史料流出,1,0,FALSE
药家鑫在看守所唱《传奇》的视频泄露之后，细心的再见华尔街发现台下领导席中坐着一位军装男子(第5分钟开始出现)，云中鹤138认为：他可能就是药家鑫父亲药青伟，是总后西安军事代表局驻西安的军代表。正团级军衔，副师级待遇。,1,0,FALSE
2月26日晚11点多，郑州巡警接到报警，说一个女孩在宾馆受到性侵犯。民警赶到现场时，受害人小王的老板说：“我是北京大学明伦管理学院的副院长，我叫王子涵，我告诉你，别拍了！”O,1,0,FALSE
"暴雪!沈阳部分学校已提前放学。为缓解家长晚上接孩子的交通压力,确保孩子安全,大学区决定提前放学,五年级今天放学时间为1:20!请家长尽量准时接孩子,,家长一定和校车司机沟通好!请放心,班主任老师会一直在教室陪伴!直到最后一个孩子接走!暴雪过后，很多人都找不到自己家！",0,1,FALSE
为增进同学之间的交往，培养健康的性取向和健康的人格，同时将学生宿舍管理工作与国际接轨！好先进，好羡慕嫉妒恨啊！,1,0,FALSE
1.现在睡觉的话，会做梦；而现在学习的话，会让梦实现。2.我无所事事的度过了今天，是昨天死去的人们所期望的明天。3.学习不是人生的全部，但学习都征服不了，那你还能做什么？4.今天不想走，明天就要跑了。5.此刻睡觉的口水将变成明天流下的泪水。,1,0,FALSE
4月25日，河南南阳一中学家长反映，学校没开学先收费，学费上涨1千，转账给班主任还需交1‰的手续费。校方回应，班主任对收费不了解，就按最高标准收的，因微信提现有手续费，班主任让把手续费一块转了，已整改。,0,1,FALSE
如果真的对天一处罚，或者对他们高价生进行一些处理。那天一这个协议班得赔多少钱。所以很难看到最后这个事情有什么结果。黑啊，今天这天黑的吓人。,0,1,FALSE
对不起我的财管老师微观经济老师半小时蒙完只求分数不要太丢人了,0,1,FALSE
“世界学生跳绳锦标赛”上，一所中国乡村小学，广州花都区七星小学，斩获所有28枚金牌中的27枚！岑小林一人打破两项世界纪录，创下30秒单摇跳单脚110次（原纪录106次），3分钟单摇跳单脚548次（原纪录530次）的新纪录。,0,1,FALSE
这是全世界文科生的榜样啊。！！我的世界观崩塌得一塌糊涂。。。。（by人人爱重庆）,0,1,FALSE
今天早上，一中考点，一群穿旗袍的妈妈们在门口着实靓丽。网传穿旗袍寓意着孩子“旗开得胜”，看来所传非虚。妈妈们用心良苦呀！加油！高考生！祝你们“旗开得胜”！（供图：梁小姐）,0,1,FALSE
有人问：怎么不设管理员？校长：6人一年30万工资，只要丢书不超30万就值；偷书是受教育不够，多看书多受教育，偷拿过书也会放回书架。年终盘点，原来10万册书变成了10万6千册。不教而诛谓之虐，为什么总有人说中国人素质低？,1,0,FALSE
据本台记者消息，地震导致新北市一处变电箱爆炸，引发附近住宅发生火灾，致1死1伤。据统计，这次地震是今年台湾发生的第三起六级以上地震。,0,1,FALSE
1月2日，广西贵港市港北区普罗旺斯幼儿园门口，一群孩子奔跑着过斑马线，两人被快速驶来的小轿车撞倒在地，其中一名幼儿倒地不起，另一名当场身亡！此次事故幼儿园老师和轿车司机都负有不可推卸的责任细思恐极的奇闻的微博视频,1,0,FALSE
在驾驶舱玻璃爆碎、仪表盘开裂、无线电中断、高空失压和零下几十度的恶劣情况下，靠目视成功备降，临危不乱英雄本色！他们是川航英雄机长刘传健、受伤的90后副机长、所有机组人员向他们致敬！日更视频的...,0,1,FALSE
人民网：失联航班或有乘客冒充他人混上飞机。详见新闻截图,0,1,FALSE
东方航空MU5843航班昆明飞成都。本来12.：30就该到成都的飞机，现在却因为双流机场上空无人机影响，迫降重庆了！无人机何时才能得到有效控制！成都商报成都晚报东方航空,0,1,FALSE
中国地震台网自动测定：03月17日10时16分在四川内江市威远县附近（北纬29.59度，东经104.78度）发生3.1级左右地震，最终结果以正式速报为准。（震长）,0,1,FALSE
网友爆料今天晚上，恒泰门口发生一起车祸，现场一疑似学生伢倒地不起，摩托车以及碎片都散落在不远处！掌上安陆的...,0,1,FALSE
4月10日凌晨3点14分，河南龙宇能源股份有限公司永城市陈四楼煤矿北翼12采区发生煤与瓦斯突出事故。此次事当班工人说，事故死亡人说已经超过十人，一人获救，获救者向外泄露了死亡人数的实情已被警方控制，愿逝者安息，能得到应有的公道，,1,0,FALSE
今天川航挡风玻璃破裂，机长在零下几十度和极大风流、仪表失控情况下，仍然手动正确操控，备降成功。进过飞机驾驶舱的人应该都清楚，仪表精密度是超乎想象的，不要说飞机飞行过程中，即使是高速开车，没有挡风玻璃，对常人来说也是极大考验，何况是低温大风的高空。奇迹！向英雄致敬！,0,1,FALSE
作者：官民皆守新闻法由中国国务院研究室、中央党校研究室、中国社会科学院等部门近日推出一份调查报告披露：中国的亿万富豪百分之九十以上是高干子女，其中有2900多名高干子女，共拥有资产二万多亿。在金融、外贸、国土开发、大型工程、证券O,1,0,FALSE
三峡工程实现发电收入每年200多亿元，不属于百姓，不属于国务院，属于长江水利股份有限公司。换句话，三峡工程靠全国人民捐款、国家拨款，将留给国人，实现收入归个人所有，归个别官员所有！当年国务院说好的五分钱一度的电去那里了？屏蔽再发！,1,0,FALSE
福建省纪委消息：福建省厦门市人民政府党组成员、副市长李栋梁涉嫌严重违纪，目前正接受组织调查。,0,1,FALSE
有些媒体虽圈，但也只能天天看余杭余杭新闻网小强热线都市快报钱江晚报钱江晚报余杭生活央视新闻社会新闻大爆料社会维权曝光民生报道关注凤凰卫视凤凰卫视胡玲文汇报路透中文网Reuters华尔街日报中文网纽约时报中文网twitter中文讯息海de公园de梦想黒幇,1,0,FALSE
张昂，前日截查一辆名牌越野车时，司机突然开车，并将其拖行20米，期间女警的...,1,0,FALSE
我从小怕老鼠，但是不怕蛇。后来，有位朋友知道此事，大为惊讶。我说，有什么好惊讶的，不是还有那么多人，某党治下都欢蹦乱跳的活着，反倒害怕什么“列强”么？,0,1,FALSE
1945年8月14日中华民国与苏联签订《中苏友好同盟条约》同意“苏联尊重东北的主权领土完整；不干涉新疆的内部事务；不援助中共”等条件下允许外蒙投票公决。1953年民国政府援引苏联并未做到“不援助中共”等条件废除该条约，不承认外蒙独立，下令把外蒙重新纳入中华民国版图。,1,0,FALSE
19小时内，中纪委先后在上海、北京拿下首虎，反腐地图覆盖31个省份。《新闻极客》统计显示，十八大后各地落马的省部级“老虎”59名，有两名女老虎，山西7只老虎堪称“老虎窝”，多数老虎为1950年至1959年出生。,0,1,FALSE
阳朔变泽国，似乎未见官媒报道，都忙着帮美帝人民监督美帝政府了。——摘自网络,1,0,FALSE
