content,label,title,tag,predicted_label,result
10日，瑞典斯德哥尔摩音乐厅，中国科学家屠呦呦从瑞典国王卡尔十六世?古斯塔夫手中领取诺贝尔生理学或医学奖。这是中国科学家在中国本土进行的科学研究首获诺贝尔科学奖，是中国医学界迄今为止获得的最高奖项。,0,['【今天，向这位中国科学家转发祝贺！#屠呦呦获颁诺贝尔奖#[鼓掌]】'],[],1,FALSE
XP/WIN7系统都会默认限制20％的网速，我们可以很轻松地解除这个限制，使你的上网速度达到100%，真正地体验冲浪的感觉~！本教程仅供技术交流，喜欢赶紧转走吧！学电脑，请关注黑客是这样练成的,1,['【别怪网速太慢，只怪自己不会调网速！】'],[],0,FALSE
iPhone5粉红款！女生的最爱！iPhone5首次曝光，即将上市。1.5GHzA4处理器，使用全新材质氮涂层外壳，这种氮涂层外壳具有防划防磨的特效。800万传感器，而且iPhone5完全解决了信号问题，并将支持4G连接，拥有32GB内存或64GB。喜欢的话，转发哈！,1,[],[],0,FALSE
日本富士新闻网报道，据日本政府人士透露，两艘中国海军护卫舰出现在钓鱼岛西北80海里海域。这是中国海军首次出现在这一地区。,0,['【日媒称中国海军护卫舰出现在钓鱼岛附近】'],[],1,FALSE
不幸遇难的中国人质名叫樊京辉，来自北京，曾从事广告行业。新浪新闻2001年1月15日登载的报道显示，樊当时接受白岩松采访时说，“自己一定要做自由人”、“从某种意义上说，要刻意追求不安全感带来的快感、走江湖的感觉”。详见：,0,['【被IS杀害的中国人质是谁？他曾接受白岩松采访】'],[],1,FALSE
皇军和八路军亲善珍贵史料流出,1,[],[],0,FALSE
2月26日晚11点多，郑州巡警接到报警，说一个女孩在宾馆受到性侵犯。民警赶到现场时，受害人小王的老板说：“我是北京大学明伦管理学院的副院长，我叫王子涵，我告诉你，别拍了！”O,1,['【北大院长王子涵深夜性侵犯女孩】'],[],0,FALSE
为增进同学之间的交往，培养健康的性取向和健康的人格，同时将学生宿舍管理工作与国际接轨！好先进，好羡慕嫉妒恨啊！,1,['【南京航空航天大学本科生可以申请男女合住】'],[],0,FALSE
1.现在睡觉的话，会做梦；而现在学习的话，会让梦实现。2.我无所事事的度过了今天，是昨天死去的人们所期望的明天。3.学习不是人生的全部，但学习都征服不了，那你还能做什么？4.今天不想走，明天就要跑了。5.此刻睡觉的口水将变成明天流下的泪水。,1,['【哈佛大学图书馆馆训】'],[],0,FALSE
如果真的对天一处罚，或者对他们高价生进行一些处理。那天一这个协议班得赔多少钱。所以很难看到最后这个事情有什么结果。黑啊，今天这天黑的吓人。,0,[],['河南专升本考生与辅导机构录音曝光'],1,FALSE
